,Amplitude,mu,sigma
0,20.156399192965843,845.636928123183,168.95641290013734
1,34.83766874800428,1300.1431444336192,158.77209052893244
2,30.11651066289409,1697.824559744783,166.78132904194158
3,15.526386019387147,2166.270373281591,197.42061820272735
4,45.04316302067297,2585.3385030317913,239.55877191599163
5,64.73151713301793,3310.309260577768,229.67387968934813
6,50.16531183576576,3820.865353816731,279.5068163060756
7,107.62863992121338,4214.769894278198,196.89389712416158
8,111.31045634626415,4475.508864127046,154.29680220476953
9,94.59790851504138,4821.649182185165,282.29378010151964
10,58.983110580686585,5092.02409436723,259.98626082624526
11,105.8346141753312,5251.014269374538,154.49070461875857
12,151.18654847327852,5326.780027705188,138.46158290873296
13,165.07566101340385,5343.088443066504,114.84821263199264
14,70.67926392484155,5208.935556353102,154.58178544995823
15,42.03616302144074,4835.551362885594,166.01536075296346
16,110.19864454472078,2482.276462588962,175.33415654056134
17,45.22567691623409,2415.7352913180553,128.44675507456816
18,40.09075557214885,2254.700611855518,175.1458279083696
19,59.759794420108626,2036.5276028950598,183.43784737397175
20,30.57775997418392,1821.9733261582214,193.17005371673218
21,26.56673409204707,1619.8256273767993,178.37570667337206
